covid_id,Departamento,Cantidad Casos,FECHAFK,Estado
571,VALLE,1,20210825,
572,CARTAGENA,1,20200803,Fallecido
573,CALDAS,2,20210603,
574,QUINDIO,3,20210721,Fallecido
575,BARRANQUILLA,1,20220125,Grave
576,SUCRE,11,20201013,Leve
577,CESAR,17,20210429,Fallecido
578,SANTANDER,463,20201029,Leve
579,CALDAS,12,20201031,Fallecido
580,ANTIOQUIA,7,20210529,
581,GUAJIRA,145,20220111,leve
582,BOYACA,1,20211201,
583,RISARALDA,202,20210327,Leve
584,CESAR,2,20211206,Fallecido
585,SUCRE,17,20201021,Leve
586,HUILA,4,20211013,Leve
587,NORTE SANTANDER,3,20200319,Leve
588,SANTANDER,18,20201016,Fallecido
589,MAGDALENA,7,20211218,Leve
590,ANTIOQUIA,15,20210919,Fallecido
591,QUINDIO,38,20211108,Leve
592,ANTIOQUIA,"1,600",20201110,Leve
593,NORTE SANTANDER,13,20210118,Fallecido
594,RISARALDA,15,20211010,Leve
595,HUILA,429,20201105,Leve
596,PUTUMAYO,130,20200814,Leve
597,BARRANQUILLA,4,20210130,Fallecido
598,ARAUCA,3,20200822,Leve
599,HUILA,1,20211004,Leve
600,CAQUETA,66,20210718,Leve
601,SAN ANDRES,6,20211220,Leve
602,PUTUMAYO,43,20201222,Leve
603,CESAR,2,20200902,
604,GUAINIA,1,20201207,Leve
605,ANTIOQUIA,6,20210521,
606,QUINDIO,6,20220103,Fallecido
607,QUINDIO,204,20210605,Leve
608,BOGOTA,33,20200724,
609,MAGDALENA,1,20220209,Moderado
610,CAQUETA,1,20211022,Fallecido
611,CALDAS,7,20220120,Fallecido
612,NORTE SANTANDER,15,20210113,Fallecido
613,ANTIOQUIA,38,20210114,Fallecido
614,CORDOBA,6,20211030,Leve
615,NARIÑO,1,20211129,Fallecido
616,BOYACA,4,20210718,Fallecido
617,BOYACA,302,20220201,Leve
618,RISARALDA,189,20201212,Leve
619,MAGDALENA,98,20210606,Leve
620,CAUCA,2,20220122,Fallecido
621,BOGOTA,74,20210420,Fallecido
622,CUNDINAMARCA,"1,688",20210708,Leve
623,NORTE SANTANDER,8,20201029,Fallecido
624,MAGDALENA,2,20200411,Leve
625,CASANARE,1,20210716,
626,NARIÑO,171,20210801,Leve
627,ARAUCA,1,20220120,Moderado
628,CAUCA,8,20210703,Fallecido
629,PUTUMAYO,29,20201102,Leve
630,ANTIOQUIA,3,20201118,
631,NARIÑO,195,20210202,Leve
632,CAQUETA,1,20211225,Leve
633,STA MARTA D.E.,383,20220117,Leve
634,SAN ANDRES,11,20201028,Leve
635,QUINDIO,129,20210422,Leve
636,STA MARTA D.E.,2,20211008,Fallecido
637,CESAR,141,20201030,Leve
638,ANTIOQUIA,"1,898",20200727,Leve
639,GUAJIRA,34,20210809,Leve
640,GUAJIRA,1,20210220,Fallecido
641,CESAR,285,20201005,Leve
642,BOLIVAR,4,20210730,Fallecido
643,NARIÑO,8,20210125,Fallecido
644,STA MARTA D.E.,1,20220206,
645,BOLIVAR,1,20200917,Fallecido
646,SUCRE,10,20200715,Fallecido
647,HUILA,155,20201204,Leve
648,ATLANTICO,26,20201005,Leve
649,CAUCA,121,20201112,Leve
650,VAUPES,13,20210610,Leve
651,ARAUCA,24,20210101,Leve
652,RISARALDA,4,20201027,Fallecido
653,PUTUMAYO,1,20210210,leve
654,ATLANTICO,1,20200508,
655,META,1,20210317,
656,VICHADA,46,20200915,Leve
657,QUINDIO,1,20201128,
658,NARIÑO,10,20200907,Fallecido
659,BOLIVAR,1,20210723,Fallecido
660,SUCRE,2,20201109,Fallecido
661,CORDOBA,95,20210608,Leve
662,MAGDALENA,10,20210228,Fallecido
663,CESAR,2,20210112,Fallecido
664,CARTAGENA,126,20200812,Leve
665,CUNDINAMARCA,53,20210905,Leve
666,GUAJIRA,1,20200914,
667,MAGDALENA,20,20210909,Leve
668,CORDOBA,8,20210710,Fallecido
669,BOGOTA,15,20210717,
670,TOLIMA,9,20220116,Fallecido
671,GUAINIA,4,20200827,Leve
672,CHOCO,1,20200423,Leve
673,PUTUMAYO,44,20210416,Leve
674,NORTE SANTANDER,83,20210221,Leve
675,META,3,20200526,Leve
676,RISARALDA,5,20220116,Moderado
677,ANTIOQUIA,17,20210809,Fallecido
678,CASANARE,1,20211215,
679,SUCRE,1,20210212,
680,CASANARE,1,20200928,Fallecido
681,QUINDIO,230,20210613,Leve
682,SUCRE,123,20200810,Leve
683,ANTIOQUIA,"1,986",20210705,Leve
684,BOYACA,3,20210311,Fallecido
685,SUCRE,2,20210308,Fallecido
686,SUCRE,9,20210906,Leve
687,MAGDALENA,1,20210702,
688,TOLIMA,1,20210918,Fallecido
689,NORTE SANTANDER,132,20210806,Leve
690,VICHADA,6,20220209,Leve
691,MAGDALENA,10,20220223,Leve
692,BARRANQUILLA,156,20220218,Leve
693,VAUPES,4,20210518,Leve
694,CAQUETA,1,20200727,
695,CUNDINAMARCA,40,20210127,Fallecido
696,CASANARE,1,20210811,
697,ARAUCA,1,20201215,Fallecido
698,HUILA,809,20210629,Leve
699,NORTE SANTANDER,44,20210807,leve
700,PUTUMAYO,8,20210423,Fallecido
701,CAUCA,68,20201119,Leve
702,ATLANTICO,230,20220112,Leve
